Kernel,C,Validation Accuracy
linear,0.1,0.8871566443949518
linear,0.5,0.8856718634001485
linear,1.0,0.8856718634001485
linear,5.0,0.8849294729027468
linear,10.0,0.8812175204157386
rbf,0.1,0.8878990348923533
rbf,0.5,0.8878990348923533
rbf,1.0,0.8893838158871566
rbf,5.0,0.8856718634001485
rbf,10.0,0.888641425389755
