Model,Precision,Recall,F1-score
KNN,0.2589479121980414,0.268999672585676,0.26383244129457806
SVM,0.26211487795451277,0.27214492636354465,0.26698308875132587
LR,0.2598147177144794,0.269661155959709,0.2645130501129805
