0,1,2,3,4,5,6
250,0,15,0,0,2,4
0,111,0,0,0,0,0
8,0,309,0,4,2,2
0,0,0,639,0,12,40
1,0,5,6,383,0,7
3,0,0,9,0,399,7
0,0,0,44,9,6,460
