0,1,2,3,4,5,6
242,0,23,0,1,2,3
0,111,0,0,0,0,0
12,0,303,0,5,2,3
0,0,0,634,0,13,44
0,0,10,5,377,0,10
2,0,0,6,0,401,9
1,0,0,55,5,5,453
